id,depth,geometry
0.0,1.0,"POLYGON ((250.0000004363323 750.0000004363324, 250.000000418879 740.0000004363324, 260.000000418879 740.000000418879, 260.0000004363323 750.000000418879, 250.0000004363323 750.0000004363324))"
1.0,1.0,"POLYGON ((260.0000004363323 750.000000418879, 260.000000418879 740.000000418879, 270.000000418879 740.0000004014257, 270.0000004363323 750.0000004014257, 260.0000004363323 750.000000418879))"
2.0,1.0,"POLYGON ((270.0000004363323 750.0000004014257, 270.000000418879 740.0000004014257, 280.000000418879 740.0000003839725, 280.0000004363323 750.0000003839725, 270.0000004363323 750.0000004014257))"
3.0,1.0,"POLYGON ((280.0000004363323 750.0000003839725, 280.000000418879 740.0000003839725, 290.000000418879 740.0000003665192, 290.0000004363323 750.0000003665192, 280.0000004363323 750.0000003839725))"
4.0,1.0,"POLYGON ((290.0000004363323 750.0000003665192, 290.000000418879 740.0000003665192, 300.000000418879 740.0000003490659, 300.0000004363323 750.0000003490659, 290.0000004363323 750.0000003665192))"
5.0,1.0,"POLYGON ((300.0000004363323 750.0000003490659, 300.000000418879 740.0000003490659, 310.000000418879 740.0000003316126, 310.0000004363323 750.0000003316126, 300.0000004363323 750.0000003490659))"
6.0,1.0,"POLYGON ((310.0000004363323 750.0000003316126, 310.000000418879 740.0000003316126, 320.000000418879 740.0000003141594, 320.0000004363323 750.0000003141594, 310.0000004363323 750.0000003316126))"
7.0,1.0,"POLYGON ((320.0000004363323 750.0000003141594, 320.000000418879 740.0000003141594, 330.000000418879 740.000000296706, 330.0000004363323 750.000000296706, 320.0000004363323 750.0000003141594))"
8.0,1.0,"POLYGON ((330.0000004363323 750.000000296706, 330.000000418879 740.000000296706, 340.000000418879 740.0000002792527, 340.0000004363323 750.0000002792527, 330.0000004363323 750.000000296706))"
9.0,1.0,"POLYGON ((340.0000004363323 750.0000002792527, 340.000000418879 740.0000002792527, 350.000000418879 740.0000002617994, 350.0000004363323 750.0000002617994, 340.0000004363323 750.0000002792527))"
10.0,1.0,"POLYGON ((350.0000004363323 750.0000002617994, 350.000000418879 740.0000002617994, 360.000000418879 740.0000002443461, 360.0000004363323 750.0000002443461, 350.0000004363323 750.0000002617994))"
11.0,1.0,"POLYGON ((360.0000004363323 750.0000002443461, 360.000000418879 740.0000002443461, 370.000000418879 740.0000002268929, 370.0000004363323 750.0000002268929, 360.0000004363323 750.0000002443461))"
12.0,1.0,"POLYGON ((370.0000004363323 750.0000002268929, 370.000000418879 740.0000002268929, 380.000000418879 740.0000002094396, 380.0000004363323 750.0000002094396, 370.0000004363323 750.0000002268929))"
13.0,1.0,"POLYGON ((380.0000004363323 750.0000002094396, 380.000000418879 740.0000002094396, 390.000000418879 740.0000001919863, 390.0000004363323 750.0000001919863, 380.0000004363323 750.0000002094396))"
