,Peaks,q1,,,,,,,
5-year,195.99,,,,,,,,
10-year,237.79,,,,,,,,
20-year,277.89,,,,,,,,
50-year,329.8,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,497.22,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,195.99,237.79,277.89,329.8,497.22
,,,max,381.167,195.99,237.79,277.89,329.8,497.22
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 0:00,,4.687,4.687,4.687,4.687,4.687,4.687
,,1/05/2005 0:05,,4.669,4.677853554,4.675855041,4.673937808,4.671455923,4.663451355
,,1/05/2005 0:10,,4.669,4.677853554,4.675855041,4.673937808,4.671455923,4.663451355
,,1/05/2005 0:15,,4.704,4.69563831,4.697525794,4.699336515,4.701680517,4.709240387
,,1/05/2005 0:20,,4.669,4.677853554,4.675855041,4.673937808,4.671455923,4.663451355
,,1/05/2005 0:25,,4.704,4.69563831,4.697525794,4.699336515,4.701680517,4.709240387
,,1/05/2005 0:30,,4.704,4.69563831,4.697525794,4.699336515,4.701680517,4.709240387
,,1/05/2005 0:35,,4.704,4.69563831,4.697525794,4.699336515,4.701680517,4.709240387
,,1/05/2005 0:40,,4.721,4.70427662,4.708051588,4.711673029,4.716361034,4.731480775
,,1/05/2005 0:45,,4.739,4.713423066,4.719196547,4.724735221,4.73190511,4.75502942
,,1/05/2005 0:50,,4.739,4.713423066,4.719196547,4.724735221,4.73190511,4.75502942
,,1/05/2005 0:55,,4.756,4.722061376,4.729722341,4.737071736,4.746585627,4.777269807
,,1/05/2005 1:00,,4.774,4.731207822,4.7408673,4.750133927,4.762129704,4.800818453
,,1/05/2005 1:05,,4.791,4.739846133,4.751393094,4.762470442,4.776810221,4.82305884
,,1/05/2005 1:10,,4.791,4.739846133,4.751393094,4.762470442,4.776810221,4.82305884
,,1/05/2005 1:15,,4.809,4.748992579,4.762538052,4.775532634,4.792354298,4.846607485
,,1/05/2005 1:20,,4.827,4.758139025,4.773683011,4.788594826,4.807898374,4.87015613
,,1/05/2005 1:25,,4.844,4.766777335,4.784208805,4.80093134,4.822578891,4.892396518
,,1/05/2005 1:30,,4.862,4.775923781,4.795353764,4.813993532,4.838122968,4.915945163
,,1/05/2005 1:35,,4.898,4.794216673,4.817643681,4.840117916,4.869211121,4.963042454
,,1/05/2005 1:40,,4.916,4.803363119,4.82878864,4.853180108,4.884755198,4.986591099
,,1/05/2005 1:45,,4.951,4.821147875,4.850459392,4.878578814,4.914979792,5.032380132
,,1/05/2005 1:50,,5.006,4.849095349,4.884513432,4.918491067,4.962475582,5.104334326
,,1/05/2005 1:55,,4.97,4.830802457,4.862223515,4.892366683,4.931387428,5.057237035
,,1/05/2005 2:00,,5.006,4.849095349,4.884513432,4.918491067,4.962475582,5.104334326
,,1/05/2005 2:05,,5.024,4.858241795,4.895658391,4.931553259,4.978019658,5.127882971
,,1/05/2005 2:10,,5.042,4.867388241,4.906803349,4.944615451,4.993563735,5.151431617
,,1/05/2005 2:15,,5.06,4.876534687,4.917948308,4.957677643,5.009107812,5.174980262
,,1/05/2005 2:20,,5.079,4.886189269,4.929712431,4.971465512,5.025515448,5.199837165
,,1/05/2005 2:25,,5.134,4.914136743,4.963766471,5.011377765,5.073011238,5.271791359
,,1/05/2005 2:30,,5.19,4.942592353,4.998439675,5.052015695,5.121370588,5.345053812
,,1/05/2005 2:35,,5.19,4.942592353,4.998439675,5.052015695,5.121370588,5.345053812
,,1/05/2005 2:40,,5.246,4.971047963,5.03311288,5.092653626,5.169729938,5.418316264
