,Peaks,q1,,,,,,,
5-year,180.31,,,,,,,,
10-year,211.75,,,,,,,,
20-year,241.91,,,,,,,,
50-year,280.95,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,406.88,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,180.31,211.75,241.91,280.95,406.88
,,,max,381.167,180.31,211.75,241.91,280.95,406.88
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 0:00,,4.687,4.687,4.687,4.687,4.687,4.687
,,1/05/2005 0:05,,4.669,4.678603235,4.677100048,4.675658059,4.673791506,4.667770628
,,1/05/2005 0:10,,4.669,4.678603235,4.677100048,4.675658059,4.673791506,4.667770628
,,1/05/2005 0:15,,4.704,4.694930278,4.696349955,4.697711833,4.699474689,4.705161074
,,1/05/2005 0:20,,4.669,4.678603235,4.677100048,4.675658059,4.673791506,4.667770628
,,1/05/2005 0:25,,4.704,4.694930278,4.696349955,4.697711833,4.699474689,4.705161074
,,1/05/2005 0:30,,4.704,4.694930278,4.696349955,4.697711833,4.699474689,4.705161074
,,1/05/2005 0:35,,4.704,4.694930278,4.696349955,4.697711833,4.699474689,4.705161074
,,1/05/2005 0:40,,4.721,4.702860556,4.70569991,4.708423667,4.711949378,4.723322147
,,1/05/2005 0:45,,4.739,4.71125732,4.715599862,4.719765608,4.725157873,4.742551519
,,1/05/2005 0:50,,4.739,4.71125732,4.715599862,4.719765608,4.725157873,4.742551519
,,1/05/2005 0:55,,4.756,4.719187598,4.724949817,4.730477441,4.737632562,4.760712593
,,1/05/2005 1:00,,4.774,4.727584363,4.734849769,4.741819382,4.750841057,4.779941965
,,1/05/2005 1:05,,4.791,4.735514641,4.744199724,4.752531215,4.763315746,4.798103039
,,1/05/2005 1:10,,4.791,4.735514641,4.744199724,4.752531215,4.763315746,4.798103039
,,1/05/2005 1:15,,4.809,4.743911406,4.754099676,4.763873157,4.77652424,4.817332411
,,1/05/2005 1:20,,4.827,4.75230817,4.763999628,4.775215098,4.789732735,4.836561783
,,1/05/2005 1:25,,4.844,4.760238448,4.773349583,4.785926931,4.802207424,4.854722856
,,1/05/2005 1:30,,4.862,4.768635213,4.783249535,4.797268872,4.815415919,4.873952229
,,1/05/2005 1:35,,4.898,4.785428743,4.80304944,4.819952754,4.841832907,4.912410973
,,1/05/2005 1:40,,4.916,4.793825507,4.812949392,4.831294696,4.855041402,4.931640345
,,1/05/2005 1:45,,4.951,4.81015255,4.832199299,4.85334847,4.880724586,4.96903079
,,1/05/2005 1:50,,5.006,4.835809331,4.862449153,4.888004401,4.921083874,5.027787205
,,1/05/2005 1:55,,4.97,4.819015802,4.842649248,4.865320519,4.894666885,4.989328461
,,1/05/2005 2:00,,5.006,4.835809331,4.862449153,4.888004401,4.921083874,5.027787205
,,1/05/2005 2:05,,5.024,4.844206096,4.872349105,4.899346342,4.934292369,5.047016577
,,1/05/2005 2:10,,5.042,4.852602861,4.882249057,4.910688284,4.947500863,5.066245949
,,1/05/2005 2:15,,5.06,4.860999625,4.892149009,4.922030225,4.960709358,5.085475321
,,1/05/2005 2:20,,5.079,4.869862877,4.902598959,4.934002274,4.974651657,5.105772992
,,1/05/2005 2:25,,5.134,4.895519658,4.932848813,4.968658205,5.015010946,5.164529407
,,1/05/2005 2:30,,5.19,4.921642927,4.963648664,5.003944244,5.05610404,5.22435412
,,1/05/2005 2:35,,5.19,4.921642927,4.963648664,5.003944244,5.05610404,5.22435412
,,1/05/2005 2:40,,5.246,4.947766195,4.994448515,5.039230283,5.097197134,5.284178833
,,1/05/2005 2:45,,5.303,4.97435595,5.025798364,5.07514643,5.139024033,5.345071844
,,1/05/2005 2:50,,5.36,5.000945705,5.057148212,5.111062577,5.180850932,5.405964856
,,1/05/2005 2:55,,5.437,5.036865199,5.099498008,5.159580881,5.237353936,5.488223837
,,1/05/2005 3:00,,5.456,5.04572845,5.109947957,5.17155293,5.251296236,5.508521507
,,1/05/2005 3:05,,5.534,5.082114431,5.15284775,5.220701341,5.308533046,5.591848786
,,1/05/2005 3:10,,5.553,5.090977683,5.1632977,5.23267339,5.322475345,5.612146457
,,1/05/2005 3:15,,5.652,5.137159889,5.217747437,5.295054067,5.395122065,5.717908003
,,1/05/2005 3:20,,5.712,5.165149105,5.250747277,5.332860537,5.43915038,5.78200591
,,1/05/2005 3:25,,5.752,5.183808582,5.272747171,5.358064851,5.46850259,5.824737848
,,1/05/2005 3:30,,5.853,5.230923762,5.328296903,5.421705743,5.54261692,5.932635991
,,1/05/2005 3:35,,5.893,5.249583239,5.350296797,5.446910056,5.57196913,5.975367929
,,1/05/2005 3:40,,5.994,5.29669842,5.405846528,5.510550948,5.64608346,6.083266073
,,1/05/2005 3:45,,5.974,5.287368681,5.394846581,5.497948791,5.631407355,6.061900104
,,1/05/2005 3:50,,6.035,5.315824384,5.428396419,5.53638537,5.676169475,6.127066309
,,1/05/2005 3:55,,6.138,5.363872538,5.485046146,5.601286477,5.751751416,6.237101049
,,1/05/2005 4:00,,6.179,5.382998502,5.507596037,5.627120899,5.781837431,6.280901286
,,1/05/2005 4:05,,6.241,5.411920692,5.541695872,5.666187585,5.827333356,6.347135789
,,1/05/2005 4:10,,6.325,5.451105594,5.587895649,5.719116644,5.888972997,6.436872859
,,1/05/2005 4:15,,6.41,5.490756983,5.634645423,5.77267581,5.951346443,6.527678227
,,1/05/2005 4:20,,6.452,5.510349434,5.657745312,5.799140339,5.982166264,6.572546762
,,1/05/2005 4:25,,6.495,5.530408372,5.681395198,5.826234977,6.01371989,6.618483595
,,1/05/2005 4:30,,6.581,5.570526248,5.728694969,5.880424251,6.076827141,6.710357262
,,1/05/2005 4:35,,6.602,5.580322474,5.740244913,5.893656516,6.092237051,6.732791529
,,1/05/2005 4:40,,6.624,5.590585186,5.752344855,5.907518888,6.108380767,6.756294095
,,1/05/2005 4:45,,6.733,5.641432262,5.812294565,5.976200643,6.188365539,6.872738626
,,1/05/2005 4:50,,6.776,5.6614912,5.835944451,6.00329528,6.219919164,6.91867546
,,1/05/2005 4:55,,6.82,5.682016625,5.860144334,6.031020025,6.252206595,6.965680591
,,1/05/2005 5:00,,6.864,5.70254205,5.884344217,6.05874477,6.284494026,7.012685723
,,1/05/2005 5:05,,6.931,5.733796674,5.92119404,6.100961995,6.333658978,7.084261719
,,1/05/2005 5:10,,6.931,5.733796674,5.92119404,6.100961995,6.333658978,7.084261719
,,1/05/2005 5:15,,7.02,5.775314011,5.970143803,6.157041593,6.398967645,7.179340281
,,1/05/2005 5:20,,7.043,5.786043211,5.982793742,6.171534074,6.415845166,7.203911145
