id,depth,geometry
0.0,1.0,"POLYGON ((500 853.5533905932738, 492.9289321881345 846.4823227814084, 500 839.4112549695428, 507.0710678118655 846.4823227814084, 500 853.5533905932738))"
1.0,1.0,"POLYGON ((507.0710678118655 846.4823227814084, 500 839.4112549695428, 507.0710678118655 832.3401871576773, 514.142135623731 839.4112549695428, 507.0710678118655 846.4823227814084))"
2.0,1.0,"POLYGON ((514.142135623731 839.4112549695428, 507.0710678118655 832.3401871576773, 514.1421356237308 825.2691193458118, 521.2132034355964 832.3401871576773, 514.142135623731 839.4112549695428))"
3.0,1.0,"POLYGON ((521.2132034355964 832.3401871576773, 514.1421356237308 825.2691193458118, 521.2132034355964 818.1980515339465, 528.2842712474619 825.2691193458119, 521.2132034355964 832.3401871576773))"
4.0,1.0,"POLYGON ((528.2842712474619 825.2691193458119, 521.2132034355964 818.1980515339465, 528.2842712474619 811.1269837220809, 535.3553390593274 818.1980515339465, 528.2842712474619 825.2691193458119))"
5.0,1.0,"POLYGON ((535.3553390593274 818.1980515339465, 528.2842712474619 811.1269837220809, 535.3553390593274 804.0559159102154, 542.4264068711929 811.1269837220809, 535.3553390593274 818.1980515339465))"
6.0,1.0,"POLYGON ((542.4264068711929 811.1269837220809, 535.3553390593274 804.0559159102154, 542.4264068711927 796.9848480983499, 549.4974746830583 804.0559159102154, 542.4264068711929 811.1269837220809))"
7.0,1.0,"POLYGON ((549.4974746830583 804.0559159102154, 542.4264068711927 796.9848480983499, 549.4974746830583 789.9137802864846, 556.5685424949238 796.98484809835, 549.4974746830583 804.0559159102154))"
8.0,1.0,"POLYGON ((556.5685424949238 796.98484809835, 549.4974746830583 789.9137802864846, 556.5685424949238 782.842712474619, 563.6396103067893 789.9137802864846, 556.5685424949238 796.98484809835))"
9.0,1.0,"POLYGON ((563.6396103067893 789.9137802864846, 556.5685424949238 782.842712474619, 563.6396103067893 775.7716446627535, 570.7106781186548 782.842712474619, 563.6396103067893 789.9137802864846))"
10.0,1.0,"POLYGON ((570.7106781186548 782.842712474619, 563.6396103067893 775.7716446627535, 570.7106781186546 768.700576850888, 577.7817459305202 775.7716446627535, 570.7106781186548 782.842712474619))"
11.0,1.0,"POLYGON ((577.7817459305202 775.7716446627535, 570.7106781186546 768.700576850888, 577.7817459305202 761.6295090390227, 584.8528137423857 768.7005768508881, 577.7817459305202 775.7716446627535))"
12.0,1.0,"POLYGON ((584.8528137423857 768.7005768508881, 577.7817459305202 761.6295090390227, 584.8528137423857 754.5584412271571, 591.9238815542512 761.6295090390227, 584.8528137423857 768.7005768508881))"
13.0,1.0,"POLYGON ((591.9238815542512 761.6295090390227, 584.8528137423857 754.5584412271571, 591.9238815542512 747.4873734152916, 598.9949493661167 754.5584412271571, 591.9238815542512 761.6295090390227))"
14.0,1.0,"POLYGON ((598.9949493661167 754.5584412271571, 591.9238815542512 747.4873734152916, 598.9949493661165 740.416305603426, 606.0660171779821 747.4873734152916, 598.9949493661167 754.5584412271571))"
15.0,1.0,"POLYGON ((606.0660171779821 747.4873734152916, 598.9949493661165 740.416305603426, 606.0660171779821 733.3452377915607, 613.1370849898476 740.4163056034262, 606.0660171779821 747.4873734152916))"
16.0,1.0,"POLYGON ((613.1370849898476 740.4163056034262, 606.0660171779821 733.3452377915607, 613.1370849898476 726.2741699796952, 620.2081528017131 733.3452377915607, 613.1370849898476 740.4163056034262))"
17.0,1.0,"POLYGON ((620.2081528017131 733.3452377915607, 613.1370849898476 726.2741699796952, 620.2081528017131 719.2031021678297, 627.2792206135786 726.2741699796952, 620.2081528017131 733.3452377915607))"
18.0,1.0,"POLYGON ((627.2792206135786 726.2741699796952, 620.2081528017131 719.2031021678297, 627.2792206135784 712.1320343559642, 634.350288425444 719.2031021678297, 627.2792206135786 726.2741699796952))"
19.0,1.0,"POLYGON ((634.350288425444 719.2031021678297, 627.2792206135784 712.1320343559642, 634.350288425444 705.0609665440988, 641.4213562373095 712.1320343559643, 634.350288425444 719.2031021678297))"
20.0,1.0,"POLYGON ((641.4213562373095 712.1320343559643, 634.350288425444 705.0609665440988, 641.4213562373095 697.9898987322333, 648.492424049175 705.0609665440988, 641.4213562373095 712.1320343559643))"
21.0,1.0,"POLYGON ((648.492424049175 705.0609665440988, 641.4213562373095 697.9898987322333, 648.492424049175 690.9188309203678, 655.5634918610405 697.9898987322333, 648.492424049175 705.0609665440988))"
22.0,1.0,"POLYGON ((655.5634918610405 697.9898987322333, 648.492424049175 690.9188309203678, 655.5634918610403 683.8477631085022, 662.6345596729059 690.9188309203678, 655.5634918610405 697.9898987322333))"
23.0,1.0,"POLYGON ((662.6345596729059 690.9188309203678, 655.5634918610403 683.8477631085022, 662.6345596729059 676.776695296637, 669.7056274847714 683.8477631085024, 662.6345596729059 690.9188309203678))"
24.0,1.0,"POLYGON ((669.7056274847714 683.8477631085024, 662.6345596729059 676.776695296637, 669.7056274847714 669.7056274847714, 676.776695296637 676.776695296637, 669.7056274847714 683.8477631085024))"
25.0,1.0,"POLYGON ((676.776695296637 676.776695296637, 669.7056274847714 669.7056274847714, 676.776695296637 662.6345596729059, 683.8477631085024 669.7056274847714, 676.776695296637 676.776695296637))"
26.0,1.0,"POLYGON ((683.8477631085024 669.7056274847714, 676.776695296637 662.6345596729059, 683.8477631085022 655.5634918610403, 690.9188309203678 662.6345596729059, 683.8477631085024 669.7056274847714))"
27.0,1.0,"POLYGON ((690.9188309203678 662.6345596729059, 683.8477631085022 655.5634918610403, 690.9188309203678 648.492424049175, 697.9898987322333 655.5634918610405, 690.9188309203678 662.6345596729059))"
28.0,1.0,"POLYGON ((697.9898987322333 655.5634918610405, 690.9188309203678 648.492424049175, 697.9898987322333 641.4213562373095, 705.0609665440988 648.492424049175, 697.9898987322333 655.5634918610405))"
29.0,1.0,"POLYGON ((705.0609665440988 648.492424049175, 697.9898987322333 641.4213562373095, 705.0609665440988 634.350288425444, 712.1320343559643 641.4213562373095, 705.0609665440988 648.492424049175))"
30.0,1.0,"POLYGON ((712.1320343559643 641.4213562373095, 705.0609665440988 634.350288425444, 712.1320343559642 627.2792206135784, 719.2031021678297 634.350288425444, 712.1320343559643 641.4213562373095))"
31.0,1.0,"POLYGON ((719.2031021678297 634.350288425444, 712.1320343559642 627.2792206135784, 719.2031021678297 620.2081528017131, 726.2741699796952 627.2792206135786, 719.2031021678297 634.350288425444))"
32.0,1.0,"POLYGON ((726.2741699796952 627.2792206135786, 719.2031021678297 620.2081528017131, 726.2741699796952 613.1370849898476, 733.3452377915607 620.2081528017131, 726.2741699796952 627.2792206135786))"
33.0,1.0,"POLYGON ((733.3452377915607 620.2081528017131, 726.2741699796952 613.1370849898476, 733.3452377915607 606.0660171779821, 740.4163056034262 613.1370849898476, 733.3452377915607 620.2081528017131))"
34.0,1.0,"POLYGON ((740.4163056034262 613.1370849898476, 733.3452377915607 606.0660171779821, 740.416305603426 598.9949493661165, 747.4873734152916 606.0660171779821, 740.4163056034262 613.1370849898476))"
35.0,1.0,"POLYGON ((747.4873734152916 606.0660171779821, 740.416305603426 598.9949493661165, 747.4873734152916 591.9238815542512, 754.5584412271571 598.9949493661167, 747.4873734152916 606.0660171779821))"
