id,depth,geometry
739.0,1.0,"POLYGON ((669.7056274847714 471.71572875253804, 675 477.0101012677667, 675 466.4213562373095, 669.7056274847714 471.71572875253804))"
788.0,1.0,"POLYGON ((669.7056274847714 471.71572875253804, 662.6345596729059 464.64466094067257, 655.5634918610405 471.7157287525381, 662.6345596729059 478.7867965644036, 669.7056274847714 471.71572875253804))"
738.0,1.0,"POLYGON ((669.7056274847714 471.71572875253804, 662.6345596729059 478.7867965644036, 669.7056274847714 485.85786437626905, 675 480.5634918610404, 675 477.0101012677667, 669.7056274847714 471.71572875253804))"
787.0,1.0,"POLYGON ((662.6345596729059 478.7867965644036, 655.5634918610405 471.7157287525381, 648.492424049175 478.78679656440363, 655.5634918610406 485.8578643762691, 662.6345596729059 478.7867965644036))"
737.0,1.0,"POLYGON ((669.7056274847714 485.85786437626905, 662.6345596729059 478.7867965644036, 655.5634918610406 485.8578643762691, 662.634559672906 492.9289321881346, 669.7056274847714 485.85786437626905))"
688.0,1.0,"POLYGON ((669.7056274847714 485.85786437626905, 675 491.1522368914976, 675 480.5634918610404, 669.7056274847714 485.85786437626905))"
687.0,1.0,"POLYGON ((669.7056274847714 485.85786437626905, 662.634559672906 492.9289321881346, 669.7056274847714 500.00000000000006, 675 494.70562748477147, 675 491.1522368914976, 669.7056274847714 485.85786437626905))"
736.0,1.0,"POLYGON ((662.634559672906 492.9289321881346, 655.5634918610406 485.8578643762691, 648.492424049175 492.9289321881345, 655.5634918610405 500, 662.634559672906 492.9289321881346))"
637.0,1.0,"POLYGON ((669.7056274847714 500.00000000000006, 675 505.2943725152286, 675 494.70562748477147, 669.7056274847714 500.00000000000006))"
686.0,1.0,"POLYGON ((669.7056274847714 500.00000000000006, 662.634559672906 492.9289321881346, 655.5634918610405 500, 662.6345596729059 507.0710678118655, 669.7056274847714 500.00000000000006))"
636.0,1.0,"POLYGON ((669.7056274847714 500.00000000000006, 662.6345596729059 507.0710678118655, 669.7056274847714 514.142135623731, 675 508.8477631085024, 675 505.2943725152286, 669.7056274847714 500.00000000000006))"
586.0,1.0,"POLYGON ((669.7056274847714 514.142135623731, 675 519.4365081389594, 675 508.8477631085024, 669.7056274847714 514.142135623731))"
635.0,1.0,"POLYGON ((669.7056274847714 514.142135623731, 662.6345596729059 507.0710678118655, 655.5634918610403 514.1421356237308, 662.6345596729059 521.2132034355964, 669.7056274847714 514.142135623731))"
585.0,1.0,"POLYGON ((669.7056274847714 514.142135623731, 662.6345596729059 521.2132034355964, 669.7056274847714 528.2842712474619, 675 522.9898987322333, 675 519.4365081389594, 669.7056274847714 514.142135623731))"
634.0,1.0,"POLYGON ((662.6345596729059 521.2132034355964, 655.5634918610403 514.1421356237308, 648.492424049175 521.2132034355964, 655.5634918610405 528.2842712474619, 662.6345596729059 521.2132034355964))"
584.0,1.0,"POLYGON ((669.7056274847714 528.2842712474619, 662.6345596729059 521.2132034355964, 655.5634918610405 528.2842712474619, 662.6345596729059 535.3553390593274, 669.7056274847714 528.2842712474619))"
535.0,1.0,"POLYGON ((669.7056274847714 528.2842712474619, 675 533.5786437626905, 675 522.9898987322333, 669.7056274847714 528.2842712474619))"
